text,label
"ir sacelta brēka par melno stārķu bojāeju Latvijā. Bet eksperiments parādija, ka Latvijā nav gājis bojā neviens. Toties Āfrikā nēģeri laikam tos cep un ēd.",1
"Jā, politkorektums noiet līdz absurdam. Nēģeris ar vairs nav nēģeris bet afroamerikānis, afrolatvietis vai vēl kaut kā. Un krievs apvainojas, ja šamo par krievu nosauc..",1
"Vai hvanckara Tev ir ? Ja nu vajadzētu ieliet šamējam? Un vau Hercegovina Flor papirosi arī atrastos? Jo ja vecais zēns pamēģinātu iestīķēt savā pīpē kaut ko no mūsdienu cigaretēm, tad pamēģinājis, viņš kādi liktu nošaut. Ja nu vienīgi tiktu pie kāda Kubas cigāra, tos gan laikam šamais iepīpētu.",0
"cilvēki ir radīti pēc jehovas līdzības, tāpēc arī viņiem neizdodas ar pirmo reizi iekārtot savu dzīvi un apkārtni tādu, kādai tai jābūt, apmierināt gan savas, gan savu bērnu vajadzības...jācer, ka jehovam ar otro reizi izdosies radīt paradīzi tādu, kādai tai jābūt- bez runājošām čūskām, dēmoniem un pārtikā nederīgiem augļiem, no kuru ēšanas sākas nekrozes procesi ēdāju organismos- viņi mirdami mirst, vai mirst dzīvodami, vai dzīvo mirdami...;) mīl nevis tas, kurš nogalina bērnus, ja viņi dzīvo, kā paši grib, nevis kā grib `mīlošais`, bet gan tas, kurš pasaka, kā ir labāk, bet nenogalina... es tak savu meitu nesadedzināšu par to, ka uzvilkusi nevis ērtas sandales, botas, bet gan neveselīgās augstpapēdenes, bet tik pateikšu, kā ir veselīgāk, labāk, bet nogalināt par to, ka nedara kā es gribu- tā nu gan nav mīlestība... tāpat ar jehovu- ja viņš ir- tad viņš bija ir un būs nelietis, bet ja viņa nav, tad man nav nekādu pretenziju, ka ir tā, kā ir, jo nav tā, kurš varētu ieviest taisnīgumu un labāku kārtību...;)",0
"nu tas ir par lembergu, visu ceļu valdošie viņu grib iznīcināt, ļoti ceru ka viņam tiks dota iespēja reāli sevi pierādīt darbībā.",0
"Budismam it sevišķi Kašmiras Šaivismam... man nav ko teikt... mute paliek vaļā: Kāšmīras šivaīti un budisti tad iznāk gandrīz identiski, pār vienu kārti metami un grupējami kopā ar aramiešu (seno ZR semītu) pātariem... Kāšm. šaivismam viss esošais ir Brāhmana, augst. būtības izpausme, tas tomer nav budisms. Protams, Abhinavagupta darbojās tantrisma tradīcijās m.ē. 10.gs., bet tantrismam ar tēvreizi nudien nav nekāda sakara. Ar semītu ticējumiem, pateicoties žīdu un irāņu tirgotājiem, varēja iepazīties Gāndhāras budisti tag. Pakistānas ziemeļos m.ē. pirmajos gadsimtos, bet tas arī viss. Nav ko pesteļot. Drīzāk no franču / šveiciešu 16.g.s. kalvinisma jāliek aiz auss, ka Dieva žēlastība nāk pār garā stipriem un neatlaidīgiem, paļaušanās uz cilvēku prātu nav tīkama tam Kungam. Kaut gan esmu katolis, šo protestantu morāles maksimu par ķecerīgu man nav uiemesla uzskatīt.",1
"Pilna pasaule tādu prostitūtu. Jelgavā tāda prostitūta ir Gita Valecka. Nu jau veca grezele, bet tīri labi noder vīriešiem, kuriem neviena cita vairs nedod. Tad nu šī grābj pa labi, pa kreisi, ko vien var sagrābt. Un smieklīgi ģērbjas kā veca Bārbija. Nenosmieties par to veceni!",1
Kas tad tā par sociālo māju pie kuras stāv mersedesi... Nieku ciema krutākie bagātnieki dzīvo t.s. sociālajā mājā - parazītu bars. Kam patiešām pienāktos sociālā palīdzība tie dzīvo bomžatņikos.,0
"Fašisti ir tie , kas okupētā valstī pieprasa savu valodu . Pat vācu okupanti to nedarīja.",0
Nu nav viņš psihiski vesels. Nogalināt ir pretdabiski.,0
"Pesteļu olas. Vajadzētu apkaisīt ar sāli un sadedzināt uz vietas, ar rokām neaiztikt :)",0
"vienreiz jau cenzēja par taisnību, ieliku otreiz: Nu lai tik delfi pamēģina nocenzēt Wikipēdiju: Pederastija ir homoseksuālas attiecības starp pieaugušu vīrieti un puisi pubertātes vai pusaudžu vecumā. Tātad tātad jārunā atklātā valodā - pederasts.",1
"Cilvēki gan ir komentāros reāli debīli, zivīs ir tārpi, vienalga no kā pērk, kaut vai no glaunākajiem veikaliem pasaulē, tas nenozīmē ka zivs ir veca, dabiski zivīs un gaļā vispār ir parazīti, ja negribas sastapties ar parazītiem gaļā pārtopiet par vegāniem, idiotu bars",0
Tāpēc arī latvietes ir pasaulslavenas prostitūtas.,2
"Tāpēc jau krievu fašistus nekur neieredz,jo arī manam draugam tika izvarota Ogres rajaonā vecmāmiņa un lai varētu dabūt gredzenu no viņas pirksta,vienkārši ņēma un nogrieza,bet šāda laupīsana un izvarošana notika pa visu Latviju cilvēki daudz ir par to stāstījusi un nesaprotu kāpēc mūsu valdība nenojauc to falu uzvaras laukumā?Kamēr Latvijas krievi nesāks saprast ka šeit nav Krievija,bet Latvija,tikmēr šī dziļā aiza starp mums pastāvēs ļoti ilgi un ne jau mums ir jāceļ draudzības tilts pār šo aizu,bet viņiem!",0
"1897.g. tautas skaitīšana Kijevas guberņā: Ukraiņu val. 2820k, krievu val. 209k, poļu val. 70k. Tagad? Ukraiņiem ir par ko cīnīties. 20.gs. bija krievu triumfs, neviena cita tik efektīvi nespēja iznīcināt citas tautas. Tagad ziedu laiki ir garām. Bet bija tik labi.",2
"cilvēki ir tik truli, vakar šai dziesmai aplaudēja, bet šodien tām pašām plaukstām dziedātāju jāierok kapā! Liekuļu pūlis, kas tikai grib izklaidēties un pēc tam vēl nogalināt savus mīļotos klaunus!",0
KAP JUS NOSPRAGTU OKUPANTU CUKAS!!!!,2
